Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC 0.8M numax (muHz),TIC 1.2M numax (muHz),TIC 2.4M numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
HD 81937,h UMa,86336880,"20, 21",0.5260000228881836,580.841,283.8990981329699,425.8486471994549,851.6972943989099,09 31 31.704, +63 03 42.75,F0IV,3.6439999999999997,3.025,2.864,1.133,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 82885,11 LMi,8915802,21,,,2628.4659981274685,3942.6989971912044,7885.397994382407,09 35 39.592, +35 48 36.65,G8IV-V,5.388,3.718,3.69,0.821,0.013000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Highly irregular light curve.
HD 86728,20 LMi,172954294,21,0.8019999861717224,2034.7089999999998,1778.8209908467493,2668.2314862701237,5336.462972540248,10 01 00.726, +31 55 26.22,G1V,5.376,4.04,3.821,0.7709999999999999,0.012,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 89744,HD 89744,8154501,21,1.0,750.3760000000003,524.3067531782253,786.460129767338,1572.920259534676,10 22 10.5623,+41 13 46.308,F7V,,4.53000020980835,4.453999996185303,0.556,0.032,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,False,ATL estimate seems off.
HD 90043,24 Sex,1713457,8,,,109.18832339439562,163.78248509159343,327.56497018318686,10 23 28.3693,-00 54 08.077,K0IV,6.440999984741211,4.486000061035156,4.2849998474121085,0.659,0.009000000000000001,White et al. 2018,PAVO,False,Irregular light curve otherwise nothing of note.
HD 95418,bet UMa,141120277,21,,,,,,11 01 50.467, +56 22 56.63,A1V,2.3409999999999997,2.359,2.285,1.149,0.013999999999999999,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Seems more like rotation.
HD 95608,b Leo,97487099,22,,,,,,11 02 19.805, +20 10 47.29,A1V,4.401,4.324,4.315,0.43,0.017,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Nothing of note.
HD 95735,HD 95735,166646191,22,,,,,,11 03 20.238, +35 58 11.76,M2V,7.52,3.64,3.2539999999999996,1.432,0.013000000000000001,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 97603,del Leo,159523958,22,,,,,,11 14 06.510, +20 31 25.82,A4V,2.549,2.191,2.144,1.328,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Non-ideal light curve.
HD 97603,del Leo,159523958,22,,,,,,11 14 06.510, +20 31 25.82,A4V,2.5299999713897705,2.2799999713897705,2.240000009536743,1.165,0.022000000000000002,"Akeson et al. 2009, ApJ, 691, 1896",FLUOR,False,Was in SSP project survey. Non-ideal light curve.
HD 97633,tet Leo,77172923,22,,,,,,11 14 14.425, +15 25 46.66,A2V,3.3160000000000003,3.19,3.082,0.74,0.024,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Nothing of note.
HD 101501,61 UMa,101641846,22,,,3354.6538833444133,5031.980825016621,10063.961650033241,11 41 03.012, +34 12 06.46,G8Vvar,5.3020000000000005,3.648,3.588,0.91,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Irregular light curve otherwise nothing of note.
HD 102328,HD 102328,459186567,"15, 21, 22",,,22.119817573527637,33.17972636029145,66.35945272058291,11 46 55.6228,+55 37 41.487,K2.5IIIbCN1,5.254000186920166,2.884000062942505,2.631999969482422,1.6059999999999999,0.006,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 20-40 uHz.
HD 103095,HD 103095,309599261,22,,,6093.738629616036,9140.607944424057,18281.21588884811,11 52 58.806, +37 43 06.00,G5,6.426,4.5,4.373,0.696,0.005,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Nothing of note.
HD 103095,HD 103095,309599261,22,,,6093.738629616036,9140.607944424057,18281.21588884811,11 52 58.806, +37 43 06.00,G5,6.449999809265138,4.5,4.373000144958496,0.595,0.006999999999999999,"I. Karovicova, et al., Monthly Notices of the Royal Astronomical Society, 475, 81 (2018).",PAVO,False,Nothing of note.
HD 103095,HD 103095,309599261,22,,,6093.738629616036,9140.607944424057,18281.21588884811,11 52 58.806, +37 43 06.00,G5,6.449999809265138,4.5,4.373000144958496,0.679,0.006999999999999999,"O.L. Creevey, et al., Astronomy and Astrophysics, 545, 17 (2012).O.L. Creevey, et al., Astronomy and Astrophysics, 545, 17 (2012).",VEGA,False,Nothing of note.
HD 103605,66 UMa,284627497,"15, 21, 22",,,21.684525050438477,32.526787575657714,65.05357515131543,11 55 58.4171,+56 35 54.805,K1III,5.823999881744385,3.344000101089477,3.102999925613404,1.0979999999999999,0.01,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 30 uHz.
HD 104985,HD 104985,160224839,"14, 20, 21",,,20.37345475204684,30.560182128070263,61.12036425614052,12 05 15.1177,+76 54 20.638,G8.5IIIb,,3.5469999313354488,3.2699999809265137,1.032,0.023,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Light curve needs cleaning.
HD 106574,HD 106574,148878896,"14, 15, 21",,,6.193908888725342,9.290863333088012,18.581726666176024,12 15 08.4925,+70 12 00.029,K2III,5.7189998626708975,3.005000114440918,2.7799999713897705,1.4980000000000002,0.027999999999999997,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Very large and inconsistent spread in light curve.
HD 109358,bet CVn,458445966,22,0.7739999890327454,3010.8320000000012,2108.614074077679,3162.921111116519,6325.842222233037,12 33 44.543, +41 21 27.01,G0V,4.243,2.905,2.8480000000000003,1.238,0.03,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 113049,HD 113049,198486253,"14, 15, 20",,,9.167527288715482,13.751290933073225,27.502581866146446,12 58 47.3525,+75 28 21.030,K0III,5.989999771118164,3.821000099182129,3.658999919891357,0.971,0.022000000000000002,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Nothing of note.
HD 113337,HD 113337,142350121,"14, 15, 21, 22",0.8309999704360962,1538.4029999999998,998.0342203565166,1497.0513305347752,2994.10266106955,13 01 46.9272,+63 36 36.795,F6V,,5.052999973297119,5.005000114440918,0.386,0.009000000000000001,"S. Borgniet, et al., accepted by Astronomy and Astrophysics (2019).",VEGA,False,ATL estimate seems off.
HD 115383,e Vir,397587084,23,0.9810000061988832,1761.967,1327.9098795432064,1991.8648193148092,3983.729638629619,13 16 46.5161,+09 25 26.967,G0V,,4.10699987411499,4.0329999923706055,0.71,0.02,"M. Bonnefoy, et al., Astronomy and Astrophysics, 618, 63 (2018).",VEGA,False,ATL estimate seems off.
HD 115617,61 Vir,422478973,10,0.4009999930858612,3047.512,2609.375237400449,3914.062856100674,7828.125712201348,13 18 24.3142,-18 18 40.304,G6.5V,4.739999771118164,2.9739999771118164,2.9560000896453857,1.073,0.005,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,ATL estimate seems off.
HD 117176,70 Vir,95473936,23,1.0,929.3969999999999,687.4458610641746,1031.1687915962618,2062.3375831925237,13 28 25.8081,+13 46 43.642,G4Va,4.96999979019165,3.4570000171661377,3.240000009536743,1.0090000000000001,0.024,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Was in SSP project survey and already measured.
HD 117176,70 Vir,95473936,23,1.0,929.3969999999999,687.4458610641746,1031.1687915962618,2062.3375831925237,13 28 25.8081,+13 46 43.642,G4Va,4.96999979019165,3.4570000171661377,3.240000009536743,0.998,0.005,"S. R. Kane, et al., The Astrophysical Journal, 806, 60 (2015).",CLASSIC,False,Was in SSP project survey and already measured.
HD 118022,o Vir,365159284,23,,,,,,13 34 07.9318,+03 39 32.273,ApEuCrSr,4.940000057220459,4.900000095367432,4.879000186920166,0.34600000000000003,0.006,"K. Perraut, et al., Astronomy and Astrophysics, 579, 85 (2015).",VEGA,False,Nothing of note.
HD 118098,zet Vir,130726180,23,,,,,,13 34 41.745,-00 35 45.38,A3V,3.3680000000000003,3.154,3.2230000000000003,0.852,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Hybrid pulsator.
HD 119850,GJ 526,72465347,23,,,,,,13 45 43.777, +14 53 29.46,M3V,8.487,4.78,4.415,0.835,0.013999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 119850,GJ 526,72465347,23,,,,,,13 45 43.777, +14 53 29.46,M3V,8.5,4.775000095367432,4.414999961853027,0.845,0.057,Berger et al. 2006,CLASSIC,False,Nothing of note.
HD 120136,tau Boo,72506701,23,1.0,1578.308,1152.9487222443554,1729.4230833665329,3458.846166733066,13 47 15.7434,+17 27 24.855,F7IV-V,4.489999771118164,3.549999952316284,3.359999895095825,0.7859999999999999,0.016,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 122563,HD 122563,457862177,23,,,3.141279111765872,4.711918667648808,9.423837335297616,14 02 31.8456,+09 41 09.942,G8:III:Fe-5,6.190000057220459,3.759999990463257,3.7309999465942383,0.9259999999999999,0.011000000000000001,"I. Karovicova, et al., Monthly Notices of the Royal Astronomical Society, 475, 81 (2018).",PAVO,False,Irregular light curve otherwise nothing of note.
HD 122563,HD 122563,457862177,23,,,3.141279111765872,4.711918667648808,9.423837335297616,14 02 31.8456,+09 41 09.942,G8:III:Fe-5,6.190000057220459,3.759999990463257,3.7309999465942383,0.94,0.011000000000000001,"O.L. Creevey, et al., Astronomy and Astrophysics, 545, 17 (2012).O.L. Creevey, et al., Astronomy and Astrophysics, 545, 17 (2012).",VEGA,False,Irregular light curve otherwise nothing of note.
HD 125162,lam Boo,168708816,"16, 23",,,,,,14 16 23.0187,+46 05 17.900,A0Va_lB,4.179999828338623,4.030000209808351,3.910000085830689,0.5329999999999999,0.028999999999999998,Ciardi et al. 2007,CLASSIC,False,Definitely has oscillations at around 490 uHz.
HD 126660,tet Boo,441709021,"16, 22, 23",1.0,1259.6989999999996,779.2862932710553,1168.929439906583,2337.858879813166,14 25 11.816, +51 51 02.99,F7V,4.04,2.98,2.739,1.109,0.006999999999999999,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Very large distortion in sectors 22 and 23. Need to check/fix.
HD 128167,sig Boo,157966796,"23, 24",0.781000018119812,2453.9429999999998,1371.2790329007241,2056.9185493510863,4113.837098702172,14 34 40.810, +29 44 42.29,F3Vwvar,4.467,3.4619999999999997,3.3360000000000003,0.841,0.013000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,"Large distortion in sector 24, however using only sector 23 does not show oscillations. Was in SSP project survey."
HD 130948,HD 130948,198304072,24,,,2324.1701228655406,3486.255184298311,6972.510368596622,14 50 15.814, +23 54 42.47,G2V,5.867999999999999,4.688,4.458,0.569,0.011000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Was in SSP project survey. Nothing of note.
HD 136726,11 UMi,230061010,"14, 15, 16, 20, 21, 22, 23, 26",,,3.3601795872642866,5.040269380896429,10.08053876179286,15 17 05.8915,+71 49 26.037,K4III,5.014999866485597,2.0910000801086426,1.9390000104904173,2.336,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Large and inconsisten spread across sectors.
HD 137443,HD 137443,202505374,"14, 15, 16, 21, 22, 23",,,7.699568039871131,11.549352059806695,23.09870411961339,15 22 38.4088,+63 20 29.273,K4III,5.7119998931884775,3.002000093460083,2.782000064849853,1.69,0.031,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 17 uHz.
HD 137759,iot Dra,165722603,"15, 16, 22, 23, 24",,,,,,15 24 55.7746,+58 57 57.834,K2III,3.2899999618530287,0.7239999771118164,0.6800000071525574,3.596,0.015,"E.K. Baines, et al., The Astrophysical Journal, 743, 130 (2011).",CLASSIC,False,Potential oscillations at 40 uHz.
HD 138265,HD 138265,202510300,"15, 22, 23, 24",,,2.342178649704815,3.5132679745572215,7.026535949114444,15 27 51.4246,+60 40 12.793,K5III,5.9000000953674325,1.8550000190734863,1.587000012397766,2.062,0.038,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Very large spread in light curve otherwise nothing of note.
HD 139357,HD 139357,224312054,"16, 22, 23, 24",,,17.181615254784585,25.77242288217688,51.54484576435376,15 35 16.1984,+53 55 19.714,K4III:,5.964000225067139,3.5929999351501465,3.4059998989105225,1.073,0.013000000000000001,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 40 uHz.
HD 142091,kap CrB,334753043,24,,,115.41127866742504,173.11691800113758,346.23383600227515,15 51 13.9314,+35 39 26.564,K1IVa,4.820000171661377,2.5799999237060547,2.490000009536743,1.456,0.02,White et al. 2018,PAVO,False,Potential oscillations at 230-250 uHz.
HD 143761,rho CrB,458494003,"24, 25",0.7860000133514404,1976.516,1420.5187712148604,2130.778156822291,4261.556313644582,16 01 02.6608,+33 18 12.642,G0+VaFe-1,,3.990000009536743,3.890000104904175,0.735,0.013999999999999999,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,ATL estimate seems off.
HD 143761,rho CrB,458494003,"24, 25",0.7860000133514404,1976.516,1420.5187712148604,2130.778156822291,4261.556313644582,16 01 02.6608,+33 18 12.642,G0+VaFe-1,,3.990000009536743,3.890000104904175,0.6859999999999999,0.044000000000000004,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 145675,14 Her,219483057,"24, 25",,,2581.945755735174,3872.918633602761,7745.837267205521,16 10 24.3152,+43 49 03.498,K0V,,4.802999973297119,4.714000225067139,0.45899999999999996,0.017,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,Nothing of note.
HD 145675,14 Her,219483057,"24, 25",,,2581.945755735174,3872.918633602761,7745.837267205521,16 10 24.3152,+43 49 03.498,K0V,,4.802999973297119,4.714000225067139,0.371,0.044000000000000004,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Nothing of note.
HD 148293,HD 148293,230080609,"14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,,16.924589325334047,25.38688398800107,50.77376797600214,16 21 48.7120,+69 06 33.808,K2III,5.263999938964844,2.9579999446868896,2.713000059127808,1.48,0.06,"E.K. Baines, et al., The Astrophysical Journal, 731, 132 (2011).",CLASSIC,False,Potential oscillations at 30 uHz.
HD 150010,HD 150010,233008631,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25",,,8.865219736441599,13.297829604662398,26.595659209324797,16 31 28.2274,+72 36 44.410,K2III,6.303999900817871,3.4609999656677246,3.1770000457763667,1.024,0.028999999999999998,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 17 uHz.
HD 152812,HD 152812,115507350,"24, 25, 26",,,2.152796825442268,3.2291952381634017,6.458390476326803,16 53 17.5445,+47 25 00.197,K2III,5.986999988555907,2.9709999561309814,2.565000057220459,1.44,0.004,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Irregular light curve with strange peak at around 90 uHz.
HD 153956,HD 153956,224598071,"15, 16, 17, 19, 20, 22, 23, 24, 25, 26",,,24.78463898584605,37.17695847876908,74.35391695753816,16 59 21.5189,+56 41 19.012,K1III:,6.040999889373777,3.5720000267028813,3.2790000438690186,0.983,0.023,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Potential oscillations at 35 uHz.
HD 154345,HD 154345,198562505,"24, 25, 26",,,3373.8098898253975,5060.714834738095,10121.429669476192,17 02 36.4039,+47 04 54.762,G9,,5.0980000495910645,5.002999782562256,0.502,0.026000000000000002,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,Nothing of note.
HD 154633,HD 154633,459978312,"14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26",,,33.13031376601324,49.69547064901985,99.39094129803969,17 02 15.724, +64 36 02.52,G5V,6.091,3.8480000000000003,3.8930000000000002,0.804,0.012,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Seems like there is low frequency oscillations.
HD 157214,w Her,9728611,"25, 26",0.3370000123977661,2696.407,1976.2263374462548,2964.3395061693827,5928.6790123387655,17 20 39.295, +32 28 21.15,G0V,5.381,3.9,3.91,0.725,0.012,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,ATL estimate seems off.
HD 157681,HD 157681,188694034,"17, 20, 23, 24, 26",,,1.3424652716807304,2.013697907521096,4.027395815042191,17 21 45.3682,+53 25 13.546,K4III,5.677000045776367,2.3399999141693115,2.04099988937378,1.9080000000000001,0.013000000000000001,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Very messy light curve.
HD 158633,HD 158633,219880402,"14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26",,,4439.91018646629,6659.865279699435,13319.73055939887,17 25 00.194, +67 18 24.65,K0V,6.42,4.637,4.515,0.573,0.01,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Large and inconsistent spread across sectors. Nothing of note.
HD 160290,y Her,321601892,"24, 25, 26",,,10.483567221252684,15.725350831879027,31.450701663758057,17 36 37.6544,+48 35 08.266,K1III,5.3530001640319815,3.1600000858306885,2.875999927520752,1.515,0.01,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 17 uHz.
HD 160762,iot Her,164319891,"25, 26",,,,,,17 39 27.889, +46 00 22.74,B3V,3.799,4.349,4.228,0.31,0.01,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,Nothing of note.
HD 161178,HD 161178,441797545,"14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26",,,22.298624962325828,33.44793744348873,66.89587488697748,17 37 08.885, +72 27 20.92,G9III,5.869,3.766,3.657,0.9440000000000001,0.043,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Large peak around 40 uHz.
HD 162003,psi01 Dra A,441804568,"14, 15, 16, 17, 18, 19, 21, 22, 24, 25, 26",1.0,1067.9080000000001,525.626562021907,788.4398430328606,1576.8796860657212,17 41 56.353, +72 08 56.13,F5IV-V,4.559,3.648,3.502,0.9490000000000001,0.026000000000000002,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Needs a lot of data cleaning.
HD 167042,HD 167042,353988778,"14, 15, 17, 18, 19, 21, 22, 24, 25, 26",,,141.71057439651148,212.56586159476726,425.1317231895345,18 10 31.665, +54 17 11.45,K1III,5.965,3.556999921798706,3.549999952316284,0.823,0.011000000000000001,White et al. 2018,PAVO,False,Potential oscillations at 250 uHz.
HD 167042,HD 167042,353988778,"14, 15, 17, 18, 19, 21, 22, 24, 25, 26",,,141.71057439651148,212.56586159476726,425.1317231895345,18 10 31.665, +54 17 11.45,K1III,5.965,3.557,3.55,1.056,0.013999999999999999,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Potential oscillations at 250 uHz.
HD 168151,36 Dra,233121747,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",1.0,1486.385,874.7938646102735,1312.1907969154104,2624.3815938308207,18 13 53.827, +64 23 50.20,F5V,4.992,4.059,3.944,0.664,0.015,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Stephanie Bryson has studied this star earlier.
HD 168151,36 Dra,233121747,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",1.0,1486.385,874.7938646102735,1312.1907969154104,2624.3815938308207,18 13 53.827, +64 23 50.20,F5V,4.992,4.059,3.944,0.713,0.009000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Stephanie Bryson has studied this star earlier.
HD 170693,42 Dra,233721425,"14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26",,,6.920145700667596,10.380218551001397,20.76043710200279,18 25 59.160, +65 33 48.65,K2III,4.822999954223633,2.197000026702881,2.0850000381469727,2.041,0.043,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 10 uHz.
HD 170693,42 Dra,233721425,"14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26",,,6.920145700667596,10.380218551001397,20.76043710200279,18 25 59.160, +65 33 48.65,K2III,4.822,2.197,2.085,2.097,0.009000000000000001,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Potential oscillations at 10 uHz.
HD 170693,42 Dra,233721425,"14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26",,,6.920145700667596,10.380218551001397,20.76043710200279,18 25 59.160, +65 33 48.65,K2III,4.822999954223633,2.197000026702881,2.0850000381469727,2.12,0.02,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,Potential oscillations at 10 uHz.
HD 173416,HD 173416,157951225,26,,,16.468300665532244,24.702450998298374,49.404901996596735,18 43 36.104, +36 33 23.78,K0,6.045,3.929,3.8139999999999996,0.995,0.034,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Nothing of note.
HD 173667,110 Her,282038438,26,1.0,895.678,542.0591170603365,813.0886755905046,1626.1773511810093,18 45 39.729, +20 32 46.64,F6V,4.202,3.286,3.19,1.0,0.006,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 173701,HD 173701,123234496,"14, 26",,,2803.3976946553644,4205.096541983047,8410.193083966094,18 44 35.1192,+43 49 59.789,G8V,7.519999980926514,5.750999927520753,5.670000076293945,0.332,0.006,"Huber et al. 2012, ApJ, 760, 32",PAVO,False,Nothinfg of note.
HD 173739,HD 173739,359676790,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,,,,,18 42 46.663, +59 37 49.93,M3V,4.7410000000000005,4.7410000000000005,4.4319999999999995,0.937,0.008,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Very large and inconsistent spread across sectors.
HD 173740,HD 173740,392572237,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,,,,,18 42 46.885, +59 37 37.42,M3.5V,5.197,5.197,5.0,0.851,0.015,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Very large and inconsistent spread across sectors.
HD 175823,HD 175823,236813492,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,,6.997998159143336,10.496997238715002,20.993994477430004,18 53 46.3093,+57 29 11.602,K5III:,6.23199987411499,3.703999996185303,3.5739998817443848,0.988,0.023,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 17 uHz.
HD 176408,48 Dra,376975340,"14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26",,,21.325513002930133,31.9882695043952,63.9765390087904,18 56 45.0374,+57 48 53.352,K1III,5.6630001068115225,3.1710000038146973,2.996999979019165,1.125,0.023,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Potential oscillations at 40 uHz.
HD 176437,gam Lyr,20780347,14,,,,,,18 58 56.634, +32 41 22.24,B9III,3.2430000000000003,3.227,3.122,0.753,0.009000000000000001,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Very choppy light curve but otherwise nothing of note.
HD 176437,gam Lyr,20780347,14,,,,,,18 58 56.634, +32 41 22.24,B9III,3.2430000000000003,3.227,3.122,0.7659999999999999,0.01,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,Very choppy light curve but otherwise nothing of note.
HD 177153,HD 177153,120495825,"14, 26",,,1506.5541419595204,2259.8312129392802,4519.6624258785605,19 01 39.6781,+41 29 24.325,G0,7.210000038146973,5.922999858856201,5.828999996185303,0.289,0.006,"Huber et al. 2012, ApJ, 760, 32",PAVO,False,Nothing of note.
HD 181068,HD 181068,121945407,14,,,17.85070022458685,26.776050336880267,53.55210067376054,19 17 08.9783,+41 15 53.303,G8III+G8V+K1V,7.090000152587893,5.053999900817871,4.940999984741211,0.461,0.011000000000000001,"A. Derekas, et al., Science, 332, 316 (2011).",PAVO,False,Very strange light curve with potential oscillations at <100 uHz.
HD 182736,HD 182736,159580128,15,1.0,459.514,342.9075215571627,514.361282335744,1028.722564671488,19 24 03.3794,+44 56 00.735,G8IV,7.010000228881836,5.135000228881836,5.027999877929688,0.436,0.005,"Huber et al. 2012, ApJ, 760, 32",PAVO,False,Potential oscillations at 600 uHz.
HD 184171,8 Cyg,22463866,14,,,,,,19 31 46.313, +34 27 10.43,B3IV,4.735,5.093,5.114,0.23399999999999999,0.011000000000000001,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,Slightly irregular light curve but otherwise nothing of note.
HD 184293,HD 184293,26665833,"14, 15",,,6.112430333555298,9.168645500332946,18.337291000665893,19 31 19.3312,+50 18 24.139,K1III,5.539999961853027,2.8949999809265137,2.5209999084472656,1.548,0.022000000000000002,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Nothing of note.
HD 185351,HD 185351,270858200,"14, 15",,,100.90151245397023,151.35226868095538,302.7045373619107,19 36 37.9763,+44 41 41.760,G8.5IIIbFe-0.5,5.169000148773193,3.1549999713897705,2.999000072479248,1.12,0.016,"J. Johnson, et al., The Astrophysical Journal, 794, 15 (2014).",CLASSIC,False,Seems like there are oscillations at around 250 uHz.
HD 185351,HD 185351,270858200,"14, 15",,,100.90151245397023,151.35226868095538,302.7045373619107,19 36 37.9763,+44 41 41.760,G8.5IIIbFe-0.5,5.169000148773193,3.1549999713897705,2.999000072479248,1.133,0.009000000000000001,"J. Johnson, et al., The Astrophysical Journal, 794, 15 (2014).",PAVO,False,Seems like there are oscillations at around 250 uHz.
HD 185395,tet Cyg,27014182,"14, 15",1.0,1713.701,968.9805500377743,1453.4708250566614,2906.9416501133232,19 36 26.543, +50 13 15.57,F4V,4.480000019073486,3.7200000286102295,3.5199999809265137,0.76,0.003,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,Was in SSP project survey. Might need some cleaning to get better data.
HD 185395,tet Cyg,27014182,"14, 15",1.0,1713.701,968.9805500377743,1453.4708250566614,2906.9416501133232,19 36 26.543, +50 13 15.57,F4V,4.493,3.716,3.537,0.861,0.015,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Might need some cleaning to get better data.
HD 185395,tet Cyg,27014182,"14, 15",1.0,1713.701,968.9805500377743,1453.4708250566614,2906.9416501133232,19 36 26.543, +50 13 15.57,F4V,4.493,3.716,3.537,0.7490000000000001,0.008,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Was in SSP project survey. Might need some cleaning to get better data.
HD 185395,tet Cyg,27014182,"14, 15",1.0,1713.701,968.9805500377743,1453.4708250566614,2906.9416501133232,19 36 26.543, +50 13 15.57,F4V,4.493,3.716,3.537,0.753,0.009000000000000001,White et al. 2013,PAVO,False,Was in SSP project survey. Might need some cleaning to get better data.
HD 186408,16 Cyg A,27533341,"14, 15",0.6940000057220459,2053.002,1586.7579733387884,2380.1369600081825,4760.273920016365,19 41 48.965, +50 31 30.54,G2V,5.949,4.724,4.426,0.5539999999999999,0.011000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,ATL estimate seems off.
